"density","porosity","avg cell strain:0","avg cell strain:1","avg cell strain:2","E-Modul","Poissons ratio","Cell Type"
0.001,0.62378,1.2807e-05,-5.2904e-06,1.5352e-05,0.0001468,0.3,	
0.001,0.62346,1.1971e-05,-4.9998e-06,1.5714e-05,0.00014674,0.3,	
0.001,0.62317,1.1112e-05,-4.706e-06,1.6067e-05,0.00014669,0.3,	
0.001,0.62291,1.0231e-05,-4.4093e-06,1.6411e-05,0.00014665,0.3,	
0.001,0.62269,9.3286e-06,-4.1099e-06,1.6746e-05,0.00014661,0.3,	
0.001,0.62252,8.404e-06,-3.8079e-06,1.7075e-05,0.00014658,0.3,	
0.001,0.6224,7.458e-06,-3.5037e-06,1.7397e-05,0.00014656,0.3,	
0.001,0.62233,6.4916e-06,-3.1984e-06,1.7715e-05,0.00014655,0.3,	
0.001,0.62233,5.506e-06,-2.8938e-06,1.803e-05,0.00014655,0.3,	
0.001,0.62242,4.5024e-06,-2.5913e-06,1.8343e-05,0.00014657,0.3,	
0.001,0.62261,3.4817e-06,-2.2919e-06,1.8654e-05,0.0001466,0.3,	
0.001,0.62291,2.4443e-06,-1.9965e-06,1.8964e-05,0.00014665,0.3,	
0.001,0.62338,1.3906e-06,-1.7056e-06,1.9275e-05,0.00014673,0.3,	
0.001,0.62407,3.2107e-07,-1.4199e-06,1.9586e-05,0.00014684,0.3,	
0.001,0.62497,-7.6346e-07,-1.14e-06,1.9901e-05,0.000147,0.3,	
0.001,0.62611,-1.8621e-06,-8.6647e-07,2.0221e-05,0.00014719,0.3,	
0.001,0.62749,-2.9738e-06,-5.9996e-07,2.0548e-05,0.00014742,0.3,	
0.001,0.62912,-4.0978e-06,-3.4082e-07,2.0884e-05,0.00014769,0.3,	
0.001,0.63099,-5.2336e-06,-8.939e-08,2.1231e-05,0.00014801,0.3,	
0.001,0.63313,-6.3807e-06,1.5422e-07,2.1592e-05,0.00014837,0.3,	
0.001,0.63556,-7.5387e-06,3.9004e-07,2.1968e-05,0.00014877,0.3,	
0.001,0.63831,-8.7075e-06,6.1826e-07,2.2361e-05,0.00014924,0.3,	
0.001,0.6414,-9.8872e-06,8.3923e-07,2.2773e-05,0.00014975,0.3,	
0.001,0.64486,-1.1078e-05,1.0534e-06,2.3206e-05,0.00015034,0.3,	
0.001,0.64876,-1.228e-05,1.2612e-06,2.366e-05,0.00015099,0.3,	
0.001,0.65312,-1.3493e-05,1.4629e-06,2.4137e-05,0.00015172,0.3,	
0.001,0.65802,-1.4717e-05,1.6585e-06,2.4636e-05,0.00015255,0.3,	
0.001,0.66353,-1.595e-05,1.8475e-06,2.5159e-05,0.00015347,0.3,	
0.001,0.66975,-1.7193e-05,2.0291e-06,2.5704e-05,0.00015452,0.3,	
0.001,0.67683,-1.8444e-05,2.2026e-06,2.6274e-05,0.00015571,0.3,	
0.001,0.68492,-1.9701e-05,2.3655e-06,2.6867e-05,0.00015707,0.3,	
0.001,0.69427,-2.096e-05,2.5195e-06,2.7487e-05,0.00015864,0.3,	
0.001,0.7051,-2.223e-05,2.6548e-06,2.8126e-05,0.00016046,0.3,	
0.001,0.71747,-2.3482e-05,2.7937e-06,2.8812e-05,0.00016254,0.3,	
0.001,0.73146,-2.4788e-05,2.8743e-06,2.9483e-05,0.00016489,0.3,	
0.001,0.74771,-2.5941e-05,3.0248e-06,3.0322e-05,0.00016762,0.3,	
0.001,0.77825,-2.7116e-05,2.4322e-06,3.0876e-05,0.00017275,0.3,	
0.001,0.87571,-2.7954e-05,2.6848e-06,3.2152e-05,0.00018912,0.3,	
0.001,0.99305,-2.3267e-05,-6.261e-06,3.2045e-05,0.00020883,0.3,	
0.029822,0.98232,-1.6121e-05,-1.6128e-05,3.0051e-05,0.0050904,0.3,	
0.17852,0.96477,-1.6005e-05,-1.5712e-05,2.956e-05,37.008,0.3,	
0.43028,0.94688,-1.6246e-05,-1.4944e-05,2.9076e-05,2965.6,0.3,	
0.7582,0.94086,-1.7448e-05,-1.3264e-05,2.8604e-05,50130,0.3,	
1,0.91669,-1.8038e-05,-1.2169e-05,2.8145e-05,1.96e+05,0.3,	
1,0.83467,-1.7996e-05,-1.1575e-05,2.7922e-05,1.8222e+05,0.3,	
1,0.77611,-1.8647e-05,-1.0386e-05,2.8055e-05,1.7239e+05,0.3,	
1,0.75166,-1.9143e-05,-9.589e-06,2.8118e-05,1.6828e+05,0.3,	
1,0.75335,-1.9475e-05,-8.9164e-06,2.805e-05,1.6856e+05,0.3,	
1,0.7544,-1.9856e-05,-8.2223e-06,2.7848e-05,1.6874e+05,0.3,	
1,0.75592,-2.0279e-05,-7.4291e-06,2.7619e-05,1.69e+05,0.3,	
1,0.75783,-2.0728e-05,-6.5798e-06,2.7371e-05,1.6932e+05,0.3,	
1,0.75987,-2.1195e-05,-5.6889e-06,2.7121e-05,1.6966e+05,0.3,	
1,0.76183,-2.1676e-05,-4.7773e-06,2.6877e-05,1.6999e+05,0.3,	
1,0.76367,-2.2164e-05,-3.8645e-06,2.6649e-05,1.703e+05,0.3,	
1,0.76541,-2.2649e-05,-2.9742e-06,2.6449e-05,1.7059e+05,0.3,	
1,0.76714,-2.3115e-05,-2.1362e-06,2.628e-05,1.7088e+05,0.3,	
1,0.76894,-2.3543e-05,-1.3832e-06,2.6141e-05,1.7118e+05,0.3,	
1,0.77084,-2.3915e-05,-7.4246e-07,2.6017e-05,1.715e+05,0.3,	
1,0.77281,-2.4226e-05,-2.2644e-07,2.5887e-05,1.7183e+05,0.3,	
1,0.77545,-2.3888e-05,-2.3769e-07,-2.6108e-05,1.7228e+05,0.3,	
1,0.77305,-2.3568e-05,-7.6778e-07,-2.6275e-05,1.7187e+05,0.3,	
1,0.77079,-2.3194e-05,-1.4068e-06,-2.6437e-05,1.7149e+05,0.3,	
1,0.76878,-2.2767e-05,-2.1462e-06,-2.6603e-05,1.7115e+05,0.3,	
1,0.76704,-2.2298e-05,-2.9652e-06,-2.6783e-05,1.7086e+05,0.3,	
1,0.7655,-2.1805e-05,-3.8382e-06,-2.6979e-05,1.706e+05,0.3,	
1,0.76405,-2.1303e-05,-4.7389e-06,-2.7189e-05,1.7036e+05,0.3,	
1,0.76261,-2.0807e-05,-5.643e-06,-2.7408e-05,1.7012e+05,0.3,	
1,0.76119,-2.033e-05,-6.5279e-06,-2.7625e-05,1.6988e+05,0.3,	
1,0.75985,-1.988e-05,-7.3747e-06,-2.7831e-05,1.6965e+05,0.3,	
1,0.75868,-1.9467e-05,-8.1669e-06,-2.8014e-05,1.6946e+05,0.3,	
1,0.75772,-1.9103e-05,-8.9055e-06,-2.8144e-05,1.693e+05,0.3,	
1,0.75699,-1.8764e-05,-9.6123e-06,-2.8203e-05,1.6917e+05,0.3,	
1,0.75615,-1.839e-05,-1.0398e-05,-2.8165e-05,1.6903e+05,0.3,	
1,0.77868,-1.7902e-05,-1.137e-05,-2.8114e-05,1.7282e+05,0.3,	
1,0.83579,-1.7315e-05,-1.251e-05,-2.8205e-05,1.8241e+05,0.3,	
1,0.91588,-1.7571e-05,-1.2899e-05,-2.8473e-05,1.9587e+05,0.3,	
0.78638,0.94726,-1.6947e-05,-1.373e-05,-2.8604e-05,60485,0.3,	
0.45161,0.95087,-1.5995e-05,-1.5082e-05,-2.8956e-05,3789.7,0.3,	
0.19071,0.96652,-1.5843e-05,-1.5655e-05,-2.9355e-05,51.564,0.3,	
0.034795,0.98292,-1.5973e-05,-1.6e-05,-2.9783e-05,0.010771,0.3,	
0.001,0.99315,-2.1316e-05,-6.9553e-06,-3.2219e-05,0.00020885,0.3,	
0.001,0.88776,-2.4853e-05,1.184e-06,-3.2835e-05,0.00019114,0.3,	
0.001,0.78351,-2.4321e-05,1.0405e-06,-3.1658e-05,0.00017363,0.3,	
0.001,0.75106,-2.323e-05,1.7516e-06,-3.1217e-05,0.00016818,0.3,	
0.001,0.73478,-2.2226e-05,1.6657e-06,-3.039e-05,0.00016544,0.3,	
0.001,0.72088,-2.1037e-05,1.6587e-06,-2.9737e-05,0.00016311,0.3,	
0.001,0.70858,-1.9898e-05,1.5824e-06,-2.9059e-05,0.00016104,0.3,	
0.001,0.69781,-1.8732e-05,1.507e-06,-2.8429e-05,0.00015923,0.3,	
0.001,0.68849,-1.7573e-05,1.4079e-06,-2.7817e-05,0.00015767,0.3,	
0.001,0.68043,-1.6412e-05,1.2959e-06,-2.7231e-05,0.00015631,0.3,	
0.001,0.6734,-1.5256e-05,1.1699e-06,-2.6667e-05,0.00015513,0.3,	
0.001,0.66722,-1.4104e-05,1.0335e-06,-2.6127e-05,0.00015409,0.3,	
0.001,0.66175,-1.2961e-05,8.8791e-07,-2.5609e-05,0.00015317,0.3,	
0.001,0.65688,-1.1826e-05,7.3405e-07,-2.5114e-05,0.00015236,0.3,	
0.001,0.65254,-1.07e-05,5.7195e-07,-2.4642e-05,0.00015163,0.3,	
0.001,0.64867,-9.5818e-06,4.0118e-07,-2.4193e-05,0.00015098,0.3,	
0.001,0.64521,-8.4719e-06,2.2103e-07,-2.3765e-05,0.0001504,0.3,	
0.001,0.64212,-7.3697e-06,3.0856e-08,-2.3357e-05,0.00014988,0.3,	
0.001,0.63936,-6.275e-06,-1.6979e-07,-2.2967e-05,0.00014941,0.3,	
0.001,0.6369,-5.188e-06,-3.8113e-07,-2.2592e-05,0.000149,0.3,	
0.001,0.63472,-4.1092e-06,-6.0309e-07,-2.2231e-05,0.00014863,0.3,	
0.001,0.63279,-3.0391e-06,-8.3542e-07,-2.1881e-05,0.00014831,0.3,	
0.001,0.63111,-1.9784e-06,-1.0776e-06,-2.154e-05,0.00014803,0.3,	
0.001,0.62967,-9.2807e-07,-1.3293e-06,-2.1205e-05,0.00014778,0.3,	
0.001,0.62845,1.109e-07,-1.5897e-06,-2.0875e-05,0.00014758,0.3,	
0.001,0.62744,1.1374e-06,-1.8582e-06,-2.0548e-05,0.00014741,0.3,	
0.001,0.62665,2.1506e-06,-2.134e-06,-2.0222e-05,0.00014728,0.3,	
0.001,0.62604,3.1494e-06,-2.4164e-06,-1.9895e-05,0.00014717,0.3,	
0.001,0.62556,4.1332e-06,-2.7044e-06,-1.9566e-05,0.00014709,0.3,	
0.001,0.6252,5.1014e-06,-2.9969e-06,-1.9235e-05,0.00014703,0.3,	
0.001,0.62492,6.0529e-06,-3.2928e-06,-1.8901e-05,0.00014699,0.3,	
0.001,0.62472,6.9868e-06,-3.5906e-06,-1.8563e-05,0.00014695,0.3,	
0.001,0.62458,7.9019e-06,-3.889e-06,-1.8219e-05,0.00014693,0.3,	
0.001,0.62449,8.7973e-06,-4.1869e-06,-1.7869e-05,0.00014691,0.3,	
0.001,0.62446,9.6724e-06,-4.4836e-06,-1.751e-05,0.00014691,0.3,	
0.001,0.62446,1.0527e-05,-4.7785e-06,-1.7142e-05,0.00014691,0.3,	
0.001,0.62451,1.136e-05,-5.0712e-06,-1.6765e-05,0.00014692,0.3,	
0.001,0.62458,1.2172e-05,-5.3612e-06,-1.6378e-05,0.00014693,0.3,	
0.001,0.62468,1.2961e-05,-5.6476e-06,-1.5982e-05,0.00014695,0.3,	
0.001,0.6248,1.3728e-05,-5.9299e-06,-1.5574e-05,0.00014697,0.3,	
0.001,0.62495,1.4472e-05,-6.2074e-06,-1.5157e-05,0.00014699,0.3,	
0.001,0.62511,1.5192e-05,-6.4792e-06,-1.473e-05,0.00014702,0.3,	
0.001,0.62528,1.5887e-05,-6.7447e-06,-1.4292e-05,0.00014705,0.3,	
0.001,0.62546,1.6558e-05,-7.0033e-06,-1.3844e-05,0.00014708,0.3,	
0.001,0.62565,1.7204e-05,-7.2545e-06,-1.3385e-05,0.00014711,0.3,	
0.001,0.62584,1.7825e-05,-7.4977e-06,-1.2917e-05,0.00014714,0.3,	
0.001,0.62604,1.842e-05,-7.7325e-06,-1.244e-05,0.00014718,0.3,	
0.001,0.62625,1.8989e-05,-7.9585e-06,-1.1953e-05,0.00014721,0.3,	
0.001,0.62645,1.9532e-05,-8.1753e-06,-1.1457e-05,0.00014724,0.3,	
0.001,0.62665,2.0049e-05,-8.3827e-06,-1.0952e-05,0.00014728,0.3,	
0.001,0.62685,2.054e-05,-8.5803e-06,-1.0439e-05,0.00014731,0.3,	
0.001,0.62705,2.1005e-05,-8.7679e-06,-9.9182e-06,0.00014734,0.3,	
0.001,0.62724,2.1443e-05,-8.9454e-06,-9.3899e-06,0.00014738,0.3,	
0.001,0.62742,2.1856e-05,-9.1127e-06,-8.8547e-06,0.00014741,0.3,	
0.001,0.62761,2.2241e-05,-9.2696e-06,-8.3129e-06,0.00014744,0.3,	
0.001,0.62778,2.2601e-05,-9.4159e-06,-7.7651e-06,0.00014747,0.3,	
0.001,0.62794,2.2935e-05,-9.5518e-06,-7.2117e-06,0.00014749,0.3,	
0.001,0.6281,2.3242e-05,-9.6772e-06,-6.6531e-06,0.00014752,0.3,	
0.001,0.62824,2.3523e-05,-9.7919e-06,-6.0898e-06,0.00014754,0.3,	
0.001,0.62838,2.3779e-05,-9.8961e-06,-5.5223e-06,0.00014757,0.3,	
0.001,0.6285,2.4008e-05,-9.9898e-06,-4.951e-06,0.00014759,0.3,	
0.001,0.62861,2.4212e-05,-1.0073e-05,-4.3763e-06,0.00014761,0.3,	
0.001,0.62871,2.439e-05,-1.0146e-05,-3.7987e-06,0.00014762,0.3,	
0.001,0.62879,2.4543e-05,-1.0208e-05,-3.2185e-06,0.00014764,0.3,	
0.001,0.62886,2.467e-05,-1.026e-05,-2.6362e-06,0.00014765,0.3,	
0.001,0.62892,2.4771e-05,-1.0301e-05,-2.0522e-06,0.00014766,0.3,	
0.001,0.62896,2.4847e-05,-1.0332e-05,-1.4668e-06,0.00014767,0.3,	
0.001,0.62899,2.4898e-05,-1.0353e-05,-8.8045e-07,0.00014767,0.3,	
0.001,0.62901,2.4923e-05,-1.0363e-05,-2.9355e-07,0.00014767,0.3,	
0.001,0.62901,2.4923e-05,-1.0363e-05,2.9355e-07,0.00014767,0.3,	
0.001,0.62899,2.4898e-05,-1.0353e-05,8.8045e-07,0.00014767,0.3,	
0.001,0.62896,2.4847e-05,-1.0332e-05,1.4668e-06,0.00014767,0.3,	
0.001,0.62892,2.4771e-05,-1.0301e-05,2.0522e-06,0.00014766,0.3,	
0.001,0.62886,2.467e-05,-1.026e-05,2.6362e-06,0.00014765,0.3,	
0.001,0.62879,2.4543e-05,-1.0208e-05,3.2185e-06,0.00014764,0.3,	
0.001,0.62871,2.439e-05,-1.0146e-05,3.7987e-06,0.00014762,0.3,	
0.001,0.62861,2.4212e-05,-1.0073e-05,4.3763e-06,0.00014761,0.3,	
0.001,0.6285,2.4008e-05,-9.9898e-06,4.951e-06,0.00014759,0.3,	
0.001,0.62838,2.3779e-05,-9.8961e-06,5.5223e-06,0.00014757,0.3,	
0.001,0.62824,2.3523e-05,-9.7919e-06,6.0898e-06,0.00014754,0.3,	
0.001,0.6281,2.3242e-05,-9.6772e-06,6.6531e-06,0.00014752,0.3,	
0.001,0.62794,2.2935e-05,-9.5518e-06,7.2117e-06,0.00014749,0.3,	
0.001,0.62778,2.2601e-05,-9.4159e-06,7.7651e-06,0.00014747,0.3,	
0.001,0.62761,2.2241e-05,-9.2696e-06,8.3129e-06,0.00014744,0.3,	
0.001,0.62742,2.1856e-05,-9.1127e-06,8.8547e-06,0.00014741,0.3,	
0.001,0.62724,2.1443e-05,-8.9454e-06,9.3899e-06,0.00014738,0.3,	
0.001,0.62705,2.1005e-05,-8.7679e-06,9.9182e-06,0.00014734,0.3,	
0.001,0.62685,2.054e-05,-8.5803e-06,1.0439e-05,0.00014731,0.3,	
0.001,0.62665,2.0049e-05,-8.3827e-06,1.0952e-05,0.00014728,0.3,	
0.001,0.62645,1.9532e-05,-8.1753e-06,1.1457e-05,0.00014724,0.3,	
0.001,0.62625,1.8989e-05,-7.9585e-06,1.1953e-05,0.00014721,0.3,	
0.001,0.62604,1.842e-05,-7.7325e-06,1.244e-05,0.00014718,0.3,	
0.001,0.62584,1.7825e-05,-7.4977e-06,1.2917e-05,0.00014714,0.3,	
0.001,0.62565,1.7204e-05,-7.2545e-06,1.3385e-05,0.00014711,0.3,	
0.001,0.62546,1.6558e-05,-7.0033e-06,1.3844e-05,0.00014708,0.3,	
0.001,0.62528,1.5887e-05,-6.7447e-06,1.4292e-05,0.00014705,0.3,	
0.001,0.62511,1.5192e-05,-6.4792e-06,1.473e-05,0.00014702,0.3,	
0.001,0.62495,1.4472e-05,-6.2074e-06,1.5157e-05,0.00014699,0.3,	
0.001,0.6248,1.3728e-05,-5.9299e-06,1.5574e-05,0.00014697,0.3,	
0.001,0.62468,1.2961e-05,-5.6476e-06,1.5982e-05,0.00014695,0.3,	
0.001,0.62458,1.2172e-05,-5.3612e-06,1.6378e-05,0.00014693,0.3,	
0.001,0.62451,1.136e-05,-5.0712e-06,1.6765e-05,0.00014692,0.3,	
0.001,0.62446,1.0527e-05,-4.7785e-06,1.7142e-05,0.00014691,0.3,	
0.001,0.62446,9.6724e-06,-4.4836e-06,1.751e-05,0.00014691,0.3,	
0.001,0.62449,8.7973e-06,-4.1869e-06,1.7869e-05,0.00014691,0.3,	
0.001,0.62458,7.9019e-06,-3.889e-06,1.8219e-05,0.00014693,0.3,	
0.001,0.62472,6.9868e-06,-3.5906e-06,1.8563e-05,0.00014695,0.3,	
0.001,0.62492,6.0529e-06,-3.2928e-06,1.8901e-05,0.00014699,0.3,	
0.001,0.6252,5.1014e-06,-2.9969e-06,1.9235e-05,0.00014703,0.3,	
0.001,0.62556,4.1332e-06,-2.7044e-06,1.9566e-05,0.00014709,0.3,	
0.001,0.62604,3.1494e-06,-2.4164e-06,1.9895e-05,0.00014717,0.3,	
0.001,0.62665,2.1506e-06,-2.134e-06,2.0222e-05,0.00014728,0.3,	
0.001,0.62744,1.1374e-06,-1.8582e-06,2.0548e-05,0.00014741,0.3,	
0.001,0.62845,1.109e-07,-1.5897e-06,2.0875e-05,0.00014758,0.3,	
0.001,0.62967,-9.2807e-07,-1.3293e-06,2.1205e-05,0.00014778,0.3,	
0.001,0.63111,-1.9784e-06,-1.0776e-06,2.154e-05,0.00014803,0.3,	
0.001,0.63279,-3.0391e-06,-8.3542e-07,2.1881e-05,0.00014831,0.3,	
0.001,0.63472,-4.1092e-06,-6.0309e-07,2.2231e-05,0.00014863,0.3,	
0.001,0.6369,-5.188e-06,-3.8113e-07,2.2592e-05,0.000149,0.3,	
0.001,0.63936,-6.275e-06,-1.6979e-07,2.2967e-05,0.00014941,0.3,	
0.001,0.64212,-7.3697e-06,3.0856e-08,2.3357e-05,0.00014988,0.3,	
0.001,0.64521,-8.4719e-06,2.2103e-07,2.3765e-05,0.0001504,0.3,	
0.001,0.64867,-9.5818e-06,4.0118e-07,2.4193e-05,0.00015098,0.3,	
0.001,0.65254,-1.07e-05,5.7195e-07,2.4642e-05,0.00015163,0.3,	
0.001,0.65688,-1.1826e-05,7.3405e-07,2.5114e-05,0.00015236,0.3,	
0.001,0.66175,-1.2961e-05,8.8791e-07,2.5609e-05,0.00015317,0.3,	
0.001,0.66722,-1.4104e-05,1.0335e-06,2.6127e-05,0.00015409,0.3,	
0.001,0.6734,-1.5256e-05,1.1699e-06,2.6667e-05,0.00015513,0.3,	
0.001,0.68043,-1.6412e-05,1.2959e-06,2.7231e-05,0.00015631,0.3,	
0.001,0.68849,-1.7573e-05,1.4079e-06,2.7817e-05,0.00015767,0.3,	
0.001,0.69781,-1.8732e-05,1.507e-06,2.8429e-05,0.00015923,0.3,	
0.001,0.70858,-1.9898e-05,1.5824e-06,2.9059e-05,0.00016104,0.3,	
0.001,0.72088,-2.1037e-05,1.6587e-06,2.9737e-05,0.00016311,0.3,	
0.001,0.73478,-2.2226e-05,1.6657e-06,3.039e-05,0.00016544,0.3,	
0.001,0.75106,-2.323e-05,1.7516e-06,3.1217e-05,0.00016818,0.3,	
0.001,0.78351,-2.4321e-05,1.0405e-06,3.1658e-05,0.00017363,0.3,	
0.001,0.88776,-2.4853e-05,1.184e-06,3.2835e-05,0.00019114,0.3,	
0.001,0.99315,-2.1316e-05,-6.9553e-06,3.2219e-05,0.00020885,0.3,	
0.034795,0.98292,-1.5973e-05,-1.6e-05,2.9783e-05,0.010771,0.3,	
0.19071,0.96652,-1.5843e-05,-1.5655e-05,2.9355e-05,51.564,0.3,	
0.45161,0.95087,-1.5995e-05,-1.5082e-05,2.8956e-05,3789.7,0.3,	
0.78638,0.94726,-1.6947e-05,-1.373e-05,2.8604e-05,60485,0.3,	
1,0.91588,-1.7571e-05,-1.2899e-05,2.8473e-05,1.9587e+05,0.3,	
1,0.83579,-1.7315e-05,-1.251e-05,2.8205e-05,1.8241e+05,0.3,	
1,0.77868,-1.7902e-05,-1.137e-05,2.8114e-05,1.7282e+05,0.3,	
1,0.75615,-1.839e-05,-1.0398e-05,2.8165e-05,1.6903e+05,0.3,	
1,0.75699,-1.8764e-05,-9.6123e-06,2.8203e-05,1.6917e+05,0.3,	
1,0.75772,-1.9103e-05,-8.9055e-06,2.8144e-05,1.693e+05,0.3,	
1,0.75868,-1.9467e-05,-8.1669e-06,2.8014e-05,1.6946e+05,0.3,	
1,0.75985,-1.988e-05,-7.3747e-06,2.7831e-05,1.6965e+05,0.3,	
1,0.76119,-2.033e-05,-6.5279e-06,2.7625e-05,1.6988e+05,0.3,	
1,0.76261,-2.0807e-05,-5.643e-06,2.7408e-05,1.7012e+05,0.3,	
1,0.76405,-2.1303e-05,-4.7389e-06,2.7189e-05,1.7036e+05,0.3,	
1,0.7655,-2.1805e-05,-3.8382e-06,2.6979e-05,1.706e+05,0.3,	
1,0.76704,-2.2298e-05,-2.9652e-06,2.6783e-05,1.7086e+05,0.3,	
1,0.76878,-2.2767e-05,-2.1462e-06,2.6603e-05,1.7115e+05,0.3,	
1,0.77079,-2.3194e-05,-1.4068e-06,2.6437e-05,1.7149e+05,0.3,	
1,0.77305,-2.3568e-05,-7.6778e-07,2.6275e-05,1.7187e+05,0.3,	
1,0.77545,-2.3888e-05,-2.3769e-07,2.6108e-05,1.7228e+05,0.3,	
1,0.77854,-2.351e-05,-2.448e-07,-2.634e-05,1.7279e+05,0.3,	
1,0.77555,-2.3184e-05,-7.8443e-07,-2.6544e-05,1.7229e+05,0.3,	
1,0.77283,-2.2807e-05,-1.424e-06,-2.6741e-05,1.7183e+05,0.3,	
1,0.77056,-2.2377e-05,-2.1566e-06,-2.6934e-05,1.7145e+05,0.3,	
1,0.76876,-2.1902e-05,-2.9655e-06,-2.7126e-05,1.7115e+05,0.3,	
1,0.76733,-2.1398e-05,-3.8294e-06,-2.7321e-05,1.7091e+05,0.3,	
1,0.7661,-2.0883e-05,-4.725e-06,-2.7515e-05,1.7071e+05,0.3,	
1,0.76498,-2.0376e-05,-5.628e-06,-2.7706e-05,1.7052e+05,0.3,	
1,0.76392,-1.9891e-05,-6.5156e-06,-2.7886e-05,1.7034e+05,0.3,	
1,0.76291,-1.944e-05,-7.3694e-06,-2.8045e-05,1.7017e+05,0.3,	
1,0.762,-1.9032e-05,-8.1792e-06,-2.8171e-05,1.7002e+05,0.3,	
1,0.76122,-1.8665e-05,-8.9486e-06,-2.8251e-05,1.6988e+05,0.3,	
1,0.76065,-1.8326e-05,-9.7008e-06,-2.8272e-05,1.6979e+05,0.3,	
1,0.76051,-1.7983e-05,-1.0476e-05,-2.8241e-05,1.6977e+05,0.3,	
1,0.76082,-1.7587e-05,-1.1328e-05,-2.8205e-05,1.6982e+05,0.3,	
1,0.78276,-1.7165e-05,-1.2261e-05,-2.8233e-05,1.735e+05,0.3,	
1,0.83875,-1.6715e-05,-1.3206e-05,-2.8365e-05,1.8291e+05,0.3,	
1,0.9168,-1.6916e-05,-1.3556e-05,-2.8541e-05,1.9602e+05,0.3,	
0.80595,0.95368,-1.6328e-05,-1.4209e-05,-2.8487e-05,68762,0.3,	
0.4653,0.9555,-1.5707e-05,-1.5187e-05,-2.8772e-05,4416.9,0.3,	
0.19768,0.96907,-1.567e-05,-1.559e-05,-2.9128e-05,61.821,0.3,	
0.037136,0.98409,-1.5838e-05,-1.5861e-05,-2.952e-05,0.01485,0.3,	
0.001,0.99356,-1.9648e-05,-7.5107e-06,-3.2336e-05,0.00020892,0.3,	
0.001,0.89559,-2.2136e-05,-7.3284e-08,-3.3362e-05,0.00019246,0.3,	
0.001,0.78787,-2.181e-05,-1.7038e-07,-3.226e-05,0.00017436,0.3,	
0.001,0.75436,-2.0753e-05,6.0544e-07,-3.1924e-05,0.00016873,0.3,	
0.001,0.73812,-1.9862e-05,5.6531e-07,-3.1122e-05,0.000166,0.3,	
0.001,0.72432,-1.8773e-05,6.1993e-07,-3.0497e-05,0.00016369,0.3,	
0.001,0.71211,-1.7732e-05,5.9759e-07,-2.984e-05,0.00016164,0.3,	
0.001,0.7014,-1.6659e-05,5.7391e-07,-2.9227e-05,0.00015983,0.3,	
0.001,0.6921,-1.5591e-05,5.2212e-07,-2.8629e-05,0.00015827,0.3,	
0.001,0.68408,-1.4519e-05,4.5506e-07,-2.8055e-05,0.00015693,0.3,	
0.001,0.67709,-1.3451e-05,3.7257e-07,-2.75e-05,0.00015575,0.3,	
0.001,0.67094,-1.2388e-05,2.7895e-07,-2.6968e-05,0.00015472,0.3,	
0.001,0.66549,-1.1333e-05,1.7495e-07,-2.6459e-05,0.0001538,0.3,	
0.001,0.66065,-1.0283e-05,6.0689e-08,-2.5974e-05,0.00015299,0.3,	
0.001,0.65632,-9.2395e-06,-6.479e-08,-2.5513e-05,0.00015226,0.3,	
0.001,0.65245,-8.2004e-06,-2.0257e-07,-2.5074e-05,0.00015161,0.3,	
0.001,0.64898,-7.1655e-06,-3.5359e-07,-2.4656e-05,0.00015103,0.3,	
0.001,0.64586,-6.1346e-06,-5.1836e-07,-2.4256e-05,0.00015051,0.3,	
0.001,0.64307,-5.1078e-06,-6.9704e-07,-2.3871e-05,0.00015004,0.3,	
0.001,0.64057,-4.0858e-06,-8.8943e-07,-2.35e-05,0.00014962,0.3,	
0.001,0.63833,-3.0694e-06,-1.095e-06,-2.3139e-05,0.00014924,0.3,	
0.001,0.63634,-2.0595e-06,-1.3133e-06,-2.2787e-05,0.00014891,0.3,	
0.001,0.63458,-1.057e-06,-1.5434e-06,-2.2441e-05,0.00014861,0.3,	
0.001,0.63305,-6.3263e-08,-1.7847e-06,-2.2099e-05,0.00014835,0.3,	
0.001,0.63173,9.2066e-07,-2.0364e-06,-2.1759e-05,0.00014813,0.3,	
0.001,0.63061,1.8936e-06,-2.2975e-06,-2.1418e-05,0.00014794,0.3,	
0.001,0.62968,2.8544e-06,-2.5673e-06,-2.1077e-05,0.00014779,0.3,	
0.001,0.6289,3.802e-06,-2.8444e-06,-2.0733e-05,0.00014766,0.3,	
0.001,0.62824,4.7356e-06,-3.1276e-06,-2.0386e-05,0.00014755,0.3,	
0.001,0.62769,5.654e-06,-3.4156e-06,-2.0035e-05,0.00014745,0.3,	
0.001,0.62722,6.5564e-06,-3.707e-06,-1.9678e-05,0.00014737,0.3,	
0.001,0.62681,7.4415e-06,-4.0005e-06,-1.9314e-05,0.0001473,0.3,	
0.001,0.62647,8.3086e-06,-4.2949e-06,-1.8943e-05,0.00014725,0.3,	
0.001,0.62618,9.1568e-06,-4.5894e-06,-1.8563e-05,0.0001472,0.3,	
0.001,0.62594,9.9855e-06,-4.8831e-06,-1.8173e-05,0.00014716,0.3,	
0.001,0.62574,1.0794e-05,-5.1754e-06,-1.7773e-05,0.00014712,0.3,	
0.001,0.62557,1.1582e-05,-5.4654e-06,-1.7362e-05,0.0001471,0.3,	
0.001,0.62544,1.2349e-05,-5.7525e-06,-1.6941e-05,0.00014707,0.3,	
