"density","porosity","avg cell strain:0","avg cell strain:1","avg cell strain:2","E-Modul","Poissons ratio","Cell Type"
0.001,0.63758,2.3347e-05,-7.0087e-06,-8.1551e-07,0.00014911,0.3,	
0.001,0.64086,2.4489e-05,-7.3511e-06,-7.9687e-07,0.00014967,0.3,	
0.001,0.64417,2.5597e-05,-7.6837e-06,-7.7813e-07,0.00015022,0.3,	
0.001,0.64746,2.6673e-05,-8.0067e-06,-7.5902e-07,0.00015077,0.3,	
0.001,0.65074,2.7716e-05,-8.32e-06,-7.3938e-07,0.00015132,0.3,	
0.001,0.65399,2.8727e-05,-8.6232e-06,-7.1914e-07,0.00015187,0.3,	
0.001,0.65721,2.9703e-05,-8.9165e-06,-6.9824e-07,0.00015241,0.3,	
0.001,0.66039,3.0646e-05,-9.1995e-06,-6.7668e-07,0.00015295,0.3,	
0.001,0.66351,3.1554e-05,-9.4721e-06,-6.5445e-07,0.00015347,0.3,	
0.001,0.66657,3.2427e-05,-9.7343e-06,-6.3156e-07,0.00015398,0.3,	
0.001,0.66954,3.3265e-05,-9.9859e-06,-6.0804e-07,0.00015448,0.3,	
0.001,0.67244,3.4067e-05,-1.0227e-05,-5.839e-07,0.00015497,0.3,	
0.001,0.67524,3.4833e-05,-1.0457e-05,-5.5917e-07,0.00015544,0.3,	
0.001,0.67795,3.5563e-05,-1.0676e-05,-5.3387e-07,0.0001559,0.3,	
0.001,0.68055,3.6256e-05,-1.0884e-05,-5.0803e-07,0.00015633,0.3,	
0.001,0.68304,3.6912e-05,-1.1081e-05,-4.8169e-07,0.00015675,0.3,	
0.001,0.68541,3.7531e-05,-1.1267e-05,-4.5486e-07,0.00015715,0.3,	
0.001,0.68765,3.8112e-05,-1.1442e-05,-4.2758e-07,0.00015753,0.3,	
0.001,0.68977,3.8656e-05,-1.1605e-05,-3.9988e-07,0.00015788,0.3,	
0.001,0.69176,3.9162e-05,-1.1757e-05,-3.7179e-07,0.00015822,0.3,	
0.001,0.6936,3.9629e-05,-1.1897e-05,-3.4334e-07,0.00015853,0.3,	
0.001,0.69531,4.0058e-05,-1.2026e-05,-3.1457e-07,0.00015881,0.3,	
0.001,0.69687,4.0448e-05,-1.2143e-05,-2.855e-07,0.00015907,0.3,	
0.001,0.69828,4.08e-05,-1.2249e-05,-2.5616e-07,0.00015931,0.3,	
0.001,0.69955,4.1113e-05,-1.2343e-05,-2.2659e-07,0.00015952,0.3,	
0.001,0.70066,4.1387e-05,-1.2425e-05,-1.968e-07,0.00015971,0.3,	
0.001,0.70162,4.1622e-05,-1.2496e-05,-1.6683e-07,0.00015987,0.3,	
0.001,0.70242,4.1819e-05,-1.2555e-05,-1.367e-07,0.00016001,0.3,	
0.001,0.70306,4.1975e-05,-1.2602e-05,-1.0646e-07,0.00016011,0.3,	
0.001,0.70354,4.2093e-05,-1.2637e-05,-7.6109e-08,0.0001602,0.3,	
0.001,0.70387,4.2172e-05,-1.2661e-05,-4.5693e-08,0.00016025,0.3,	
0.001,0.70403,4.2211e-05,-1.2673e-05,-1.5236e-08,0.00016028,0.3,	
0.001,0.70403,4.2211e-05,-1.2673e-05,1.5236e-08,0.00016028,0.3,	
0.001,0.70387,4.2172e-05,-1.2661e-05,4.5693e-08,0.00016025,0.3,	
0.001,0.70354,4.2093e-05,-1.2637e-05,7.6109e-08,0.0001602,0.3,	
0.001,0.70306,4.1975e-05,-1.2602e-05,1.0646e-07,0.00016011,0.3,	
0.001,0.70242,4.1819e-05,-1.2555e-05,1.367e-07,0.00016001,0.3,	
0.001,0.70162,4.1622e-05,-1.2496e-05,1.6683e-07,0.00015987,0.3,	
0.001,0.70066,4.1387e-05,-1.2425e-05,1.968e-07,0.00015971,0.3,	
0.001,0.69955,4.1113e-05,-1.2343e-05,2.2659e-07,0.00015952,0.3,	
0.001,0.69828,4.08e-05,-1.2249e-05,2.5616e-07,0.00015931,0.3,	
0.001,0.69687,4.0448e-05,-1.2143e-05,2.855e-07,0.00015907,0.3,	
0.001,0.69531,4.0058e-05,-1.2026e-05,3.1457e-07,0.00015881,0.3,	
0.001,0.6936,3.9629e-05,-1.1897e-05,3.4334e-07,0.00015853,0.3,	
0.001,0.69176,3.9162e-05,-1.1757e-05,3.7179e-07,0.00015822,0.3,	
0.001,0.68977,3.8656e-05,-1.1605e-05,3.9988e-07,0.00015788,0.3,	
0.001,0.68765,3.8112e-05,-1.1442e-05,4.2758e-07,0.00015753,0.3,	
0.001,0.68541,3.7531e-05,-1.1267e-05,4.5486e-07,0.00015715,0.3,	
0.001,0.68304,3.6912e-05,-1.1081e-05,4.8169e-07,0.00015675,0.3,	
0.001,0.68055,3.6256e-05,-1.0884e-05,5.0803e-07,0.00015633,0.3,	
0.001,0.67795,3.5563e-05,-1.0676e-05,5.3387e-07,0.0001559,0.3,	
0.001,0.67524,3.4833e-05,-1.0457e-05,5.5917e-07,0.00015544,0.3,	
0.001,0.67244,3.4067e-05,-1.0227e-05,5.839e-07,0.00015497,0.3,	
0.001,0.66954,3.3265e-05,-9.9859e-06,6.0804e-07,0.00015448,0.3,	
0.001,0.66657,3.2427e-05,-9.7343e-06,6.3156e-07,0.00015398,0.3,	
0.001,0.66351,3.1554e-05,-9.4721e-06,6.5445e-07,0.00015347,0.3,	
0.001,0.66039,3.0646e-05,-9.1995e-06,6.7668e-07,0.00015295,0.3,	
0.001,0.65721,2.9703e-05,-8.9165e-06,6.9824e-07,0.00015241,0.3,	
0.001,0.65399,2.8727e-05,-8.6232e-06,7.1914e-07,0.00015187,0.3,	
0.001,0.65074,2.7716e-05,-8.32e-06,7.3938e-07,0.00015132,0.3,	
0.001,0.64746,2.6673e-05,-8.0067e-06,7.5902e-07,0.00015077,0.3,	
0.001,0.64417,2.5597e-05,-7.6837e-06,7.7813e-07,0.00015022,0.3,	
0.001,0.64086,2.4489e-05,-7.3511e-06,7.9687e-07,0.00014967,0.3,	
0.001,0.63758,2.3347e-05,-7.0087e-06,8.1551e-07,0.00014911,0.3,	
0.001,0.63437,2.2172e-05,-6.656e-06,8.3455e-07,0.00014857,0.3,	
0.001,0.63128,2.0961e-05,-6.2949e-06,8.5499e-07,0.00014805,0.3,	
0.001,0.62764,1.9724e-05,-5.914e-06,8.74e-07,0.00014744,0.3,	
0.001,0.63157,1.8324e-05,-5.5113e-06,8.8977e-07,0.0001481,0.3,	
0.001,0.62106,1.7139e-05,-5.1236e-06,8.8077e-07,0.00014634,0.3,	
0.001,0.62205,1.5769e-05,-4.7461e-06,8.8222e-07,0.0001465,0.3,	
0.001,0.62186,1.4391e-05,-4.3304e-06,9.4185e-07,0.00014647,0.3,	
0.001,0.61671,1.3031e-05,-3.9075e-06,9.4902e-07,0.00014561,0.3,	
0.001,0.61104,1.1661e-05,-3.4976e-06,9.5653e-07,0.00014466,0.3,	
0.001,0.60882,1.0224e-05,-3.071e-06,9.6797e-07,0.00014428,0.3,	
0.001,0.60555,8.7656e-06,-2.6327e-06,9.8352e-07,0.00014373,0.3,	
0.001,0.60311,7.2709e-06,-2.1852e-06,9.9893e-07,0.00014332,0.3,	
0.001,0.60096,5.747e-06,-1.728e-06,1.0154e-06,0.00014296,0.3,	
0.001,0.59917,4.1932e-06,-1.2618e-06,1.031e-06,0.00014266,0.3,	
0.001,0.59749,2.6104e-06,-7.8733e-07,1.0469e-06,0.00014238,0.3,	
0.001,0.59605,9.9827e-07,-3.0428e-07,1.0642e-06,0.00014214,0.3,	
0.001,0.59499,-6.4379e-07,1.8786e-07,1.0827e-06,0.00014196,0.3,	
0.001,0.59429,-2.3162e-06,6.898e-07,1.1015e-06,0.00014184,0.3,	
0.001,0.59333,-4.0199e-06,1.1999e-06,1.1205e-06,0.00014168,0.3,	
0.001,0.59411,-5.7469e-06,1.7185e-06,1.1396e-06,0.00014181,0.3,	
0.001,0.59295,-7.5185e-06,2.2465e-06,1.1646e-06,0.00014162,0.3,	
0.001,0.59507,-9.2998e-06,2.7848e-06,1.186e-06,0.00014197,0.3,	
0.001,0.59385,-1.1145e-05,3.3337e-06,1.2119e-06,0.00014177,0.3,	
0.001,0.59557,-1.3002e-05,3.8923e-06,1.2391e-06,0.00014206,0.3,	
0.001,0.59637,-1.4906e-05,4.462e-06,1.2678e-06,0.00014219,0.3,	
0.001,0.5978,-1.6844e-05,5.0414e-06,1.2992e-06,0.00014243,0.3,	
0.001,0.60051,-1.8803e-05,5.6306e-06,1.3308e-06,0.00014289,0.3,	
0.001,0.60242,-2.0821e-05,6.234e-06,1.3658e-06,0.00014321,0.3,	
0.001,0.60448,-2.2886e-05,6.8504e-06,1.4057e-06,0.00014355,0.3,	
0.001,0.60793,-2.4975e-05,7.4769e-06,1.4482e-06,0.00014413,0.3,	
0.001,0.61172,-2.711e-05,8.1157e-06,1.4937e-06,0.00014477,0.3,	
0.001,0.61608,-2.9288e-05,8.7679e-06,1.5427e-06,0.0001455,0.3,	
0.001,0.62102,-3.1512e-05,9.4335e-06,1.5948e-06,0.00014633,0.3,	
0.001,0.62658,-3.3781e-05,1.0113e-05,1.6495e-06,0.00014727,0.3,	
0.001,0.63278,-3.6095e-05,1.0807e-05,1.7052e-06,0.00014831,0.3,	
0.001,0.63968,-3.8447e-05,1.1513e-05,1.7589e-06,0.00014947,0.3,	
0.001,0.64733,-4.0828e-05,1.2229e-05,1.8062e-06,0.00015075,0.3,	
0.001,0.65579,-4.322e-05,1.2949e-05,1.843e-06,0.00015217,0.3,	
0.001,0.66515,-4.5605e-05,1.3667e-05,1.8684e-06,0.00015375,0.3,	
0.001,0.67548,-4.7964e-05,1.4373e-05,1.8893e-06,0.00015548,0.3,	
0.001,0.68691,-5.0295e-05,1.5061e-05,1.925e-06,0.0001574,0.3,	
0.001,0.69955,-5.2631e-05,1.5737e-05,2.0138e-06,0.00015952,0.3,	
0.001,0.71356,-5.5058e-05,1.6415e-05,2.2112e-06,0.00016188,0.3,	
0.001,0.72914,-5.773e-05,1.7179e-05,2.5759e-06,0.0001645,0.3,	
0.001,0.74652,-6.0867e-05,1.8141e-05,2.9783e-06,0.00016742,0.3,	
0.001,0.76593,-6.4339e-05,1.9177e-05,3.246e-06,0.00017068,0.3,	
0.001,0.78729,-6.8164e-05,2.0305e-05,3.6539e-06,0.00017426,0.3,	
0.001,0.81065,-7.2905e-05,2.0474e-05,5.0777e-06,0.00017819,0.3,	
0.001,0.83856,-8.0023e-05,2.2411e-05,1.1006e-05,0.00018288,0.3,	
0.001,0.88157,-9.2918e-05,6.6041e-06,2.998e-05,0.0001901,0.3,	
0.017538,0.95696,-1.4675e-05,-9.7168e-06,2.1816e-05,0.00053924,0.3,	
0.17431,0.96574,-8.1477e-06,-6.1595e-06,1.3376e-05,32.868,0.3,	
0.39401,0.95032,-6.7038e-06,-3.2417e-06,9.1107e-06,1914.8,0.3,	
0.61918,0.93391,-8.0594e-06,-1.1101e-06,7.9151e-06,18101,0.3,	
0.80945,0.92001,-1.1246e-05,8.8215e-07,8.263e-06,68305,0.3,	
0.93927,0.92009,-1.7258e-05,3.2031e-06,9.4812e-06,1.4371e+05,0.3,	
1,0.95903,-2.5998e-05,6.4882e-06,1.1582e-05,2.0312e+05,0.3,	
1,1,-3.9751e-05,4.2797e-06,1.9883e-05,2.1e+05,0.3,	
1,0.86038,-2.4322e-05,1.2266e-07,-2.3968e-05,1.8654e+05,0.3,	
1,0.89331,-2.4659e-05,1.6179e-06,-2.3334e-05,1.9208e+05,0.3,	
1,0.89785,-2.1546e-05,2.0171e-06,-2.0033e-05,1.9284e+05,0.3,	
0.94183,0.90464,-1.7796e-05,-1.7964e-06,-1.9978e-05,1.4376e+05,0.3,	
0.75146,0.91252,-1.3344e-05,-7.5923e-06,-2.1274e-05,46800,0.3,	
0.50324,0.92764,-1.1007e-05,-1.3835e-05,-2.4082e-05,6385.4,0.3,	
0.25703,0.94726,-1.2194e-05,-1.9296e-05,-2.9269e-05,225.66,0.3,	
0.068867,0.96706,-1.7392e-05,-1.993e-05,-3.4444e-05,0.31693,0.3,	
0.001,0.98268,-4.2587e-05,-8.083e-06,-2.5769e-05,0.00020709,0.3,	
0.001,0.89979,-6.7685e-05,8.5811e-06,-2.0116e-05,0.00019316,0.3,	
0.001,0.82262,-6.5995e-05,1.6064e-05,-1.4229e-05,0.0001802,0.3,	
0.001,0.79478,-6.4568e-05,1.7886e-05,-1.0359e-05,0.00017552,0.3,	
0.001,0.77202,-6.1938e-05,1.8021e-05,-9.4043e-06,0.0001717,0.3,	
0.001,0.75166,-5.879e-05,1.6935e-05,-8.4025e-06,0.00016828,0.3,	
0.001,0.73344,-5.6459e-05,1.6225e-05,-7.203e-06,0.00016522,0.3,	
0.001,0.71729,-5.4206e-05,1.5813e-05,-6.4802e-06,0.00016251,0.3,	
0.001,0.7029,-5.1947e-05,1.5324e-05,-6.0351e-06,0.00016009,0.3,	
0.001,0.69,-4.9659e-05,1.4753e-05,-5.7909e-06,0.00015792,0.3,	
0.001,0.6784,-4.7351e-05,1.411e-05,-5.6519e-06,0.00015597,0.3,	
0.001,0.66794,-4.5027e-05,1.3424e-05,-5.5508e-06,0.00015421,0.3,	
0.001,0.65849,-4.2698e-05,1.2717e-05,-5.4455e-06,0.00015263,0.3,	
0.001,0.64996,-4.038e-05,1.201e-05,-5.3202e-06,0.00015119,0.3,	
0.001,0.64225,-3.8085e-05,1.1314e-05,-5.1759e-06,0.0001499,0.3,	
0.001,0.6353,-3.5821e-05,1.0632e-05,-5.0205e-06,0.00014873,0.3,	
0.001,0.62905,-3.3592e-05,9.9666e-06,-4.8626e-06,0.00014768,0.3,	
0.001,0.62344,-3.1401e-05,9.315e-06,-4.7084e-06,0.00014674,0.3,	
0.001,0.61843,-2.9247e-05,8.676e-06,-4.5611e-06,0.0001459,0.3,	
0.001,0.61399,-2.7132e-05,8.0487e-06,-4.4224e-06,0.00014515,0.3,	
0.001,0.61007,-2.5054e-05,7.4324e-06,-4.2924e-06,0.00014449,0.3,	
0.001,0.6066,-2.3015e-05,6.8272e-06,-4.1713e-06,0.00014391,0.3,	
0.001,0.60362,-2.1008e-05,6.2332e-06,-4.0588e-06,0.00014341,0.3,	
0.001,0.60118,-1.9039e-05,5.649e-06,-3.9543e-06,0.000143,0.3,	
0.001,0.59892,-1.7115e-05,5.075e-06,-3.8577e-06,0.00014262,0.3,	
0.001,0.59733,-1.522e-05,4.5123e-06,-3.7663e-06,0.00014235,0.3,	
0.001,0.59581,-1.3362e-05,3.9577e-06,-3.6814e-06,0.0001421,0.3,	
0.001,0.59563,-1.153e-05,3.4135e-06,-3.5989e-06,0.00014207,0.3,	
0.001,0.59478,-9.7382e-06,2.8803e-06,-3.525e-06,0.00014192,0.3,	
0.001,0.59372,-7.9876e-06,2.3553e-06,-3.4573e-06,0.00014174,0.3,	
0.001,0.59422,-6.2537e-06,1.8396e-06,-3.3888e-06,0.00014183,0.3,	
0.001,0.59448,-4.5557e-06,1.3342e-06,-3.3256e-06,0.00014187,0.3,	
0.001,0.5947,-2.8921e-06,8.3673e-07,-3.2684e-06,0.00014191,0.3,	
0.001,0.59508,-1.2577e-06,3.4738e-07,-3.2119e-06,0.00014197,0.3,	
0.001,0.59626,3.4831e-07,-1.3164e-07,-3.1579e-06,0.00014217,0.3,	
0.001,0.59756,1.9256e-06,-6.0316e-07,-3.1068e-06,0.00014239,0.3,	
0.001,0.59873,3.4735e-06,-1.0655e-06,-3.0571e-06,0.00014259,0.3,	
0.001,0.60091,4.9899e-06,-1.5194e-06,-3.0094e-06,0.00014295,0.3,	
0.001,0.60328,6.4748e-06,-1.9654e-06,-2.961e-06,0.00014335,0.3,	
0.001,0.60442,7.9418e-06,-2.4036e-06,-2.9179e-06,0.00014354,0.3,	
0.001,0.60625,9.3756e-06,-2.8316e-06,-2.8738e-06,0.00014385,0.3,	
0.001,0.60992,1.0767e-05,-3.2436e-06,-2.8282e-06,0.00014447,0.3,	
0.001,0.6149,1.2094e-05,-3.637e-06,-2.7768e-06,0.0001453,0.3,	
0.001,0.61736,1.343e-05,-4.061e-06,-2.7401e-06,0.00014572,0.3,	
0.001,0.62725,1.4535e-05,-4.4282e-06,-2.6242e-06,0.00014738,0.3,	
0.001,0.61826,1.6107e-05,-4.7929e-06,-2.6752e-06,0.00014587,0.3,	
0.001,0.62187,1.7346e-05,-5.2265e-06,-2.6317e-06,0.00014647,0.3,	
0.001,0.62451,1.8606e-05,-5.6099e-06,-2.5758e-06,0.00014692,0.3,	
0.001,0.6275,1.9798e-05,-5.9672e-06,-2.5171e-06,0.00014742,0.3,	
0.001,0.6304,2.0964e-05,-6.3164e-06,-2.4622e-06,0.00014791,0.3,	
0.001,0.63336,2.2099e-05,-6.656e-06,-2.4076e-06,0.0001484,0.3,	
0.001,0.63635,2.3202e-05,-6.9873e-06,-2.3529e-06,0.00014891,0.3,	
0.001,0.63937,2.4274e-05,-7.3096e-06,-2.2973e-06,0.00014941,0.3,	
0.001,0.64237,2.5315e-05,-7.6227e-06,-2.2405e-06,0.00014992,0.3,	
0.001,0.64536,2.6323e-05,-7.9263e-06,-2.182e-06,0.00015042,0.3,	
