Point ID,density,E-Modul,Poissons ratio,porosity
14180,1,196325,0.3,0.918603
14181,1,202250,0.3,0.95387
14182,0.999932,209929,0.3,1
14183,0.822268,119206,0.3,0.999285
14184,0.471486,14735.7,0.3,0.990546
14185,0.199973,465.222,0.3,0.950484
14186,0.065488,6.27954,0.3,0.897019
14187,0.0176317,0.0307179,0.3,0.860679
14188,0.0034662,0.000189148,0.3,0.833915
14189,0.001,0.000178437,0.3,0.812126
14190,0.001,0.000175366,0.3,0.793844
14191,0.001,0.000172796,0.3,0.778546
14192,0.001,0.000170659,0.3,0.765828
14193,0.001,0.000168888,0.3,0.755287
14194,0.001,0.000167422,0.3,0.746558
14195,0.001,0.000166206,0.3,0.739323
14196,0.001,0.000165198,0.3,0.733319
14197,0.00102874,0.00016436,0.3,0.72833
14198,0.00149926,0.000163671,0.3,0.724181
14199,0.00230654,0.000163155,0.3,0.720733
14200,0.00297105,0.00016288,0.3,0.717873
14201,0.0035117,0.000162896,0.3,0.715512
14202,0.00394581,0.00016319,0.3,0.713582
14203,0.0042884,0.000163687,0.3,0.712027
14204,0.00455206,0.000164283,0.3,0.710806
14205,0.0047469,0.000164869,0.3,0.709886
14206,0.00488067,0.000165354,0.3,0.709244
14207,0.00495878,0.000165671,0.3,0.708866
14208,0.00498446,0.000165782,0.3,0.70874
14209,0.00495878,0.000165671,0.3,0.708866
14210,0.00488067,0.000165354,0.3,0.709244
14211,0.0047469,0.000164869,0.3,0.709886
14212,0.00455206,0.000164283,0.3,0.710806
14213,0.0042884,0.000163687,0.3,0.712027
14214,0.00394581,0.00016319,0.3,0.713582
14215,0.0035117,0.000162896,0.3,0.715512
14216,0.00297105,0.00016288,0.3,0.717873
14217,0.00230654,0.000163155,0.3,0.720733
14218,0.00149926,0.000163671,0.3,0.724181
14219,0.00102874,0.00016436,0.3,0.72833
14220,0.001,0.000165198,0.3,0.733319
14221,0.001,0.000166206,0.3,0.739323
14222,0.001,0.000167422,0.3,0.746558
14223,0.001,0.000168888,0.3,0.755287
14224,0.001,0.000170659,0.3,0.765828
14225,0.001,0.000172796,0.3,0.778546
14226,0.001,0.000175366,0.3,0.793844
14227,0.001,0.000178437,0.3,0.812126
14228,0.0034662,0.000189148,0.3,0.833915
14229,0.0176317,0.0307179,0.3,0.860679
14230,0.065488,6.27954,0.3,0.897019
14231,0.199973,465.222,0.3,0.950484
14232,0.471486,14735.7,0.3,0.990546
14233,0.822268,119206,0.3,0.999285
14234,0.999932,209929,0.3,1
14235,1,202250,0.3,0.95387
14236,1,196325,0.3,0.918603
14237,1,202034,0.3,0.952583
14238,1,207738,0.3,0.986533
14239,1,209779,0.3,0.998683
14240,1,210000,0.3,1
14241,1,210000,0.3,1
14242,1,210000,0.3,1
14243,1,209859,0.3,0.999162
14244,1,208312,0.3,0.98995
14245,1,204375,0.3,0.966516
14246,1,199124,0.3,0.935263
14247,1,193690,0.3,0.902919
14248,1,188381,0.3,0.871317
14249,1,186769,0.3,0.861718
14250,1,196685,0.3,0.920742
14251,1,207809,0.3,0.986956
14252,0.861083,136199,0.3,0.999389
14253,0.534669,32399.2,0.3,0.996422
14254,0.227347,1207.23,0.3,0.941877
14255,0.0585756,6.94713,0.3,0.83819
14256,0.00531409,0.000261833,0.3,0.771302
14257,0.001,0.00016776,0.3,0.748573
14258,0.001,0.000165904,0.3,0.737523
14259,0.001,0.000164997,0.3,0.732127
14260,0.001,0.000164663,0.3,0.730136
14261,0.001,0.0001648,0.3,0.730949
14262,0.001,0.00016582,0.3,0.737025
14263,0.001,0.000168611,0.3,0.753634
14264,0.001,0.00017438,0.3,0.787973
14265,0.001,0.000184447,0.3,0.847898
14266,0.001,0.000193358,0.3,0.900941
14267,0.001,0.000200164,0.3,0.941452
14268,0.001,0.000204704,0.3,0.968475
14269,0.001,0.000204029,0.3,0.964457
14270,0.001,0.000201698,0.3,0.95058
14271,0.001,0.000198986,0.3,0.934439
14272,0.0163162,0.0450134,0.3,0.916408
14273,0.0689362,13.0688,0.3,0.897505
14274,0.181258,456.318,0.3,0.88068
14275,0.363187,6121.59,0.3,0.872263
14276,0.602508,44711.5,0.3,0.881482
14277,0.818885,105361,0.3,0.904786
14278,0.951426,165134,0.3,0.922033
14279,1,196892,0.3,0.921978
14280,1,195053,0.3,0.911029
14281,1,193635,0.3,0.902589
14282,1,193985,0.3,0.904674
14283,1,196260,0.3,0.918213
14284,1,200516,0.3,0.943545
14285,0.989946,194950,0.3,0.967532
14286,0.900987,151163,0.3,0.974038
14287,0.703014,74447.4,0.3,0.968303
14288,0.459208,18276.1,0.3,0.965801
14289,0.242968,1676.47,0.3,0.974913
14290,0.100104,62.928,0.3,0.964867
14291,0.0255153,0.435805,0.3,0.91339
14292,0.00164374,0.000183107,0.3,0.839746
14293,0.001,0.000174464,0.3,0.788475
14294,0.001,0.000171861,0.3,0.772982
14295,0.001,0.000170735,0.3,0.766277
14296,0.001,0.000170035,0.3,0.762112
14297,0.001,0.000169726,0.3,0.760271
14298,0.001,0.000169686,0.3,0.760034
14299,0.001,0.000173018,0.3,0.779871
14300,0.001,0.000172697,0.3,0.777959
14301,0.001,0.000172516,0.3,0.776877
14302,0.001,0.000173333,0.3,0.781744
14303,0.001,0.000176881,0.3,0.802865
14304,0.0123898,0.0116261,0.3,0.864047
14305,0.055918,7.97677,0.3,0.941039
14306,0.161863,390.057,0.3,0.978988
14307,0.343847,6096.83,0.3,0.979539
14308,0.590539,49361.9,0.3,0.97707
14309,0.813172,112125,0.3,0.981401
14310,0.948646,170844,0.3,0.976168
14311,1,202268,0.3,0.953978
14312,1,197230,0.3,0.923987
14313,1,193312,0.3,0.900669
14314,1,191779,0.3,0.891542
14315,1,192358,0.3,0.89499
14316,1,194717,0.3,0.909027
14317,0.992716,189851,0.3,0.920151
14318,0.91036,147701,0.3,0.91245
14319,0.72015,72839.1,0.3,0.891356
14320,0.483079,18697.2,0.3,0.875066
14321,0.268212,1953.3,0.3,0.875989
14322,0.117615,93.8266,0.3,0.89093
14323,0.0347977,1.13115,0.3,0.910763
14324,0.00532189,0.000297381,0.3,0.930419
14325,0.001,0.000201268,0.3,0.948023
14326,0.001,0.0002038,0.3,0.963093
14327,0.001,0.000204046,0.3,0.964558
14328,0.001,0.000199018,0.3,0.93463
14329,0.001,0.000191065,0.3,0.88729
14330,0.001,0.000181155,0.3,0.828304
14331,0.001,0.000171423,0.3,0.770375
14332,0.001,0.000165913,0.3,0.737578
14333,0.001,0.000163148,0.3,0.721119
14334,0.001,0.000161864,0.3,0.713474
14335,0.001,0.000161247,0.3,0.709804
14336,0.001,0.000160957,0.3,0.708077
14337,0.001,0.000160977,0.3,0.708193
14338,0.001,0.000161334,0.3,0.710321
14339,0.001,0.00016212,0.3,0.714997
14340,0.001,0.000163581,0.3,0.723694
14341,0.001,0.000166162,0.3,0.73906
14342,0.012398,0.00996174,0.3,0.767417
14343,0.087965,31.4395,0.3,0.846652
14344,0.288818,3040.55,0.3,0.951189
14345,0.624907,61534.1,0.3,0.997434
14346,0.912156,163525,0.3,0.999879
14347,1,205810,0.3,0.975059
14348,1,193984,0.3,0.904667
14349,1,188827,0.3,0.873973
14350,1,194373,0.3,0.906981
14351,1,200572,0.3,0.943883
14352,1,206430,0.3,0.97875
14353,1,209577,0.3,0.997483
14354,1,210000,0.3,1
14355,1,210000,0.3,1
14356,1,210000,0.3,1
14357,1,210000,0.3,1
14358,1,210000,0.3,1
14359,1,209504,0.3,0.997046
14360,1,205379,0.3,0.972494
14361,1,196446,0.3,0.919321
14362,1,198712,0.3,0.932808
14363,1,208141,0.3,0.988935
14364,0.919849,155041,0.3,0.999996
14365,0.673092,55628.8,0.3,0.997599
14366,0.394363,6119.66,0.3,0.979667
14367,0.222701,602.828,0.3,0.944764
14368,0.134878,87.9336,0.3,0.908639
14369,0.096458,23.9125,0.3,0.8789
14370,0.0835026,12.2002,0.3,0.855363
14371,0.07996,9.53166,0.3,0.836304
14372,0.0794844,9.11885,0.3,0.821056
14373,0.0804215,9.58191,0.3,0.808972
14374,0.0819842,10.4811,0.3,0.799422
14375,0.0837564,11.6062,0.3,0.791861
14376,0.0855885,12.8866,0.3,0.785858
14377,0.0873534,14.2305,0.3,0.781074
14378,0.0889219,15.4964,0.3,0.777245
14379,0.0906934,16.6379,0.3,0.774171
14380,0.0925804,17.6376,0.3,0.771698
14381,0.0941277,18.492,0.3,0.76971
14382,0.0953804,19.2063,0.3,0.768117
14383,0.0963805,19.7906,0.3,0.76685
14384,0.0971647,20.2571,0.3,0.765855
14385,0.0977645,20.6186,0.3,0.765092
14386,0.0982052,20.8866,0.3,0.764529
14387,0.0985062,21.0707,0.3,0.764142
14388,0.0986814,21.1782,0.3,0.763916
14389,0.0987389,21.2135,0.3,0.763842
14390,0.0986814,21.1782,0.3,0.763916
14391,0.0985062,21.0707,0.3,0.764142
14392,0.0982052,20.8866,0.3,0.764529
14393,0.0977645,20.6186,0.3,0.765092
14394,0.0971647,20.2571,0.3,0.765855
14395,0.0963805,19.7906,0.3,0.76685
14396,0.0953804,19.2063,0.3,0.768117
14397,0.0941277,18.492,0.3,0.76971
14398,0.0925804,17.6376,0.3,0.771698
14399,0.0906934,16.6379,0.3,0.774171
14400,0.0889219,15.4964,0.3,0.777245
14401,0.0873534,14.2305,0.3,0.781074
14402,0.0855885,12.8866,0.3,0.785858
14403,0.0837564,11.6062,0.3,0.791861
14404,0.0819842,10.4811,0.3,0.799422
14405,0.0804215,9.58191,0.3,0.808972
14406,0.0794844,9.11885,0.3,0.821056
14407,0.07996,9.53166,0.3,0.836304
14408,0.0835026,12.2002,0.3,0.855363
14409,0.096458,23.9125,0.3,0.8789
14410,0.134878,87.9336,0.3,0.908639
14411,0.222701,602.828,0.3,0.944764
14412,0.394363,6119.66,0.3,0.979667
14413,0.673092,55628.8,0.3,0.997599
14414,0.919849,155041,0.3,0.999996
14415,1,208141,0.3,0.988935
14416,1,198712,0.3,0.932808
14417,1,196446,0.3,0.919321
